Códigos das respostas,Respostas Possíveis,Código da variável,Número do item da pergunta,Ano
1,No local do acidente,O016,-,2013
2,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),O016,-,2013
3,"Centro de Especialidades, Policlínica pública ou PAM – Posto de Assistência Médica",O016,-,2013
4,UPA (Unidade de Pronto Atendimento),O016,-,2013
5,Outro tipo de Pronto Atendimento Público (24 horas),O016,-,2013
6,Pronto-socorro ou emergência de hospital público,O016,-,2013
7,Hospital público/ambulatório,O016,-,2013
8,Consultório particular ou Clínica privada,O016,-,2013
9,Ambulatório ou consultório de empresa ou sindicato,O016,-,2013
10,Pronto-atendimento ou emergência de hospital privado,O016,-,2013
11,"No domicílio, com médico particular",O016,-,2013
12,"No domicílio, com médico da equipe de saúde da família",O016,-,2013
13,Outro,O016,-,2013
1,Ambulância/ Resgate do SAMU,O017,-,2013
2,Ambulância/ Resgate dos Bombeiros,O017,-,2013
3,Motos do SAMU,O017,-,2013
4,Ambulância/ Resgate do setor privado (particular ou convênio),O017,-,2013
5,Ambulância/ Resgate da concessionária da rodovia,O017,-,2013
6,Outro,O017,-,2013
0,-,O01801,-,2013
01 a 99,Horas,O01801,-,2013
0,-,O01802,-,2013
01 a 59,Minutos,O01802,-,2013
1,Sim,O019,-,2013
2,Não,O019,-,2013
1,Sim,O020,-,2013
2,Não,O020,-,2013
1,Sim,O021,-,2013
2,Não,O021,-,2013
3,Não se aplica / Pessoas que não trabalharam nos últimos 12 meses.,O021,-,2013
01 a 99,Acidentes,O02101,-,2013
1,Sim,O022,-,2013
2,Não,O022,-,2013
1,Sim,O023,-,2013
2,Não,O023,-,2013
1,Sim,O024,-,2013
2,Não,O024,-,2013
1,Sim,O025,-,2013
2,Não,O025,-,2013
1,Física,O027,-,2013
2,Sexual,O027,-,2013
3,Psicológica,O027,-,2013
4,Outro,O027,-,2013
1,"Com arma de fogo (revólver, escopeta, pistola)",O028,-,2013
2,"Com objeto pérfuro-cortante (faca, navalha, punhal, tesoura)",O028,-,2013
3,"Com objeto contundente (pau, cassetete, barra de ferro, pedra)",O028,-,2013
4,"Com força corporal, espancamento (tapa, murro, empurrão)",O028,-,2013
5,"Por meio de palavras ofensivas, xingamentos ou palavrões",O028,-,2013
6,Outro,O028,-,2013
1,Residência,O029,-,2013
2,Trabalho,O029,-,2013
3,Escola/Faculdade ou similar,O029,-,2013
4,Bar ou similar,O029,-,2013
5,Via pública,O029,-,2013
6,Banco/Caixa eletrônico/Lotérica,O029,-,2013
7,Outro,O029,-,2013
1,"Bandido, ladrão ou assaltante",O030,-,2013
2,Agente legal público (policial/agente da lei),O030,-,2013
3,Outro,O030,-,2013
1,Sim,O031,-,2013
2,Não,O031,-,2013
1,Sim,O032,-,2013
2,Não,O032,-,2013
1,Sim,O033,-,2013
2,Não,O033,-,2013
1,No local da violência,O034,-,2013
2,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),O034,-,2013
3,"Centro de Especialidades, Policlínica pública ou PAM Posto de Assistência Médica",O034,-,2013
4,UPA (Unidade de Pronto Atendimento),O034,-,2013
5,Outro tipo de Pronto Atendimento Público (24 horas),O034,-,2013
6,Pronto-socorro ou emergência de hospital público,O034,-,2013
7,Hospital público/ambulatório,O034,-,2013
8,Consultório particular ou Clínica privada,O034,-,2013
9,Ambulatório ou consultório de empresa ou sindicato,O034,-,2013
10,Pronto-atendimento ou emergência de hospital privado,O034,-,2013
11,"No domicílio, com médico particular",O034,-,2013
12,"No domicílio, com médico da equipe de saúde da família",O034,-,2013
13,Outro,O034,-,2013
1,Sim,O035,-,2013
2,Não,O035,-,2013
1,Sim,O036,-,2013
2,Não,O036,-,2013
1,Sim,O037,-,2013
2,Não,O037,-,2013
1,Uma vez,O038,-,2013
2,Duas vezes,O038,-,2013
3,De três a seis vezes,O038,-,2013
4,De sete a menos de 12 vezes,O038,-,2013
5,Pelo menos uma vez por mês,O038,-,2013
6,Pelo menos uma vez por semana,O038,-,2013
7,Quase diariamente,O038,-,2013
1,Física,O039,-,2013
2,Sexual,O039,-,2013
3,Psicológica,O039,-,2013
4,Outra,O039,-,2013
1,"Com força corporal/espancamento (tapa, murro, beliscão, empurrão)",O040,-,2013
2,"Com arma de fogo (revólver, escopeta, pistola)",O040,-,2013
3,"Com objeto pérfuro-cortante (faca, navalha, punhal, tesoura)",O040,-,2013
4,"Com objeto contundente (pau, cassetete, barra de ferro, pedra)",O040,-,2013
5,Com arremesso de substância/objeto quente,O040,-,2013
6,Com lançamento de objetos,O040,-,2013
7,Com envenenamento,O040,-,2013
8,"Por meio de palavras ofensivas, xingamentos ou palavrões",O040,-,2013
9,Outro,O040,-,2013
1,Residência,O041,-,2013
2,Trabalho,O041,-,2013
3,Escola / Faculdade ou similar,O041,-,2013
4,Bar ou similar,O041,-,2013
5,Via pública,O041,-,2013
6,Outro,O041,-,2013
1,"Cônjuge, companheiro(a), namorado(a)",O042,-,2013
2,"Ex-cônjuge, ex-companheiro(a), ex-namorado(a)",O042,-,2013
3,Pai/Mãe,O042,-,2013
4,Padrasto/Madrasta,O042,-,2013
5,Filho(a),O042,-,2013
6,Irmão(ã),O042,-,2013
7,Outro parente,O042,-,2013
8,Amigos(as)/colegas,O042,-,2013
9,Patrão/chefe,O042,-,2013
10,Outra pessoa conhecida,O042,-,2013
1,Sim,O043,-,2013
2,Não,O043,-,2013
1,Sim,O044,-,2013
2,Não,O044,-,2013
1,Sim,O045,-,2013
2,Não,O045,-,2013
1,No local da agressão,O046,-,2013
2,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),O046,-,2013
3,"Centro de Especialidades, Policlínica pública ou PAM Posto de Assistência Médica",O046,-,2013
4,UPA (Unidade de Pronto Atendimento),O046,-,2013
5,Outro tipo de Pronto Atendimento Público (24 horas),O046,-,2013
6,Pronto-socorro ou emergência de hospital público,O046,-,2013
7,Hospital público/ambulatório,O046,-,2013
8,Consultório particular ou Clínica privada,O046,-,2013
9,Ambulatório ou consultório de empresa ou sindicato,O046,-,2013
10,Pronto-atendimento ou emergência de hospital privado,O046,-,2013
11,"No domicílio, com médico particular",O046,-,2013
12,"No domicílio, com médico da equipe de saúde da família",O046,-,2013
13,Outro,O046,-,2013
1,Sim,O047,-,2013
2,Não,O047,-,2013
1,Sim,O048,-,2013
2,Não,O048,-,2013
1,Sim,P001,-,2013
2,Não sabe,P001,-,2013
-,Peso (kg),P00101,-,2013
1,Menos de 1 semana,P002,-,2013
2,Entre 1 semana e menos de 1 mês,P002,-,2013
3,Entre 1 mês a menos de 3 meses,P002,-,2013
4,Entre 3 meses e menos de 6 meses,P002,-,2013
5,Há 6 meses ou mais,P002,-,2013
6,Nunca se pesou,P002,-,2013
1,Sim,P003,-,2013
2,Não lembra / Não sabe,P003,-,2013
-,Peso (kg),P00301,-,2013
1,Sim,P004,-,2013
2,Não sabe,P004,-,2013
-,Altura em cm,P00401,-,2013
1,Sim,P005,-,2013
2,Não,P005,-,2013
3,Não sabe,P005,-,2013
-,Dias da semana,P006,-,2013
-,Dias da semana,P007,-,2013
1,1 vez por dia (no almoço ou no jantar),P008,-,2013
2,2 vezes por dia (no almoço e no jantar),P008,-,2013
3,3 vezes ou mais por dia,P008,-,2013
-,Dias da semana,P009,-,2013
1,1 vez por dia (no almoço ou no jantar),P010,-,2013
2,2 vezes por dia (no almoço e no jantar),P010,-,2013
3,3 vezes ou mais por dia,P010,-,2013
-,Dias da semana,P011,-,2013
1,Tirar o excesso de gordura visível,P012,-,2013
2,Comer com a gordura,P012,-,2013
-,Dias da semana,P013,-,2013
1,Tirar a pele,P014,-,2013
2,Comer com a pele,P014,-,2013
-,Quantos dias da semana,P015,-,2013
-,Quantos dias da semana,P016,-,2013
1,1 copo,P017,-,2013
2,2 copos,P017,-,2013
3,3 copos ou mais,P017,-,2013
-,Quantos dias da semana,P018,-,2013
-,1 vez por dia,P019,-,2013
-,2 vezes por dia,P019,-,2013
-,3 vezes ou mais por dia,P019,-,2013
-,Quantos dias da semana,P020,-,2013
1,Normal,P021,-,2013
2,Diet/Light/Zero,P021,-,2013
3,Ambos,P021,-,2013
1,1 copo,P022,-,2013
2,2 copos,P022,-,2013
3,3 copos ou mais,P022,-,2013
-,Quantos dias da semana,P023,-,2013
1,Integral,P024,-,2013
2,Desnatado ou semidesnatado,P024,-,2013
3,Os dois tipos,P024,-,2013
-,Quantos dias da semana,P025,-,2013
-,Quantos dias da semana,P026,-,2013
1,Muito alto,P02601,-,2013
2,Alto,P02601,-,2013
3,Adequado,P02601,-,2013
4,Baixo,P02601,-,2013
5,Muito baixo,P02601,-,2013
1,Não bebo nunca,P027,-,2013
2,Menos de uma vez por mês,P027,-,2013
3,Uma vez ou mais por mês,P027,-,2013
-,Quantos dias da semana,P028,-,2013
-,Doses,P029,-,2013
1,Sim,P030,-,2013
2,Não,P030,-,2013
-,Anos,P031,-,2013
1,Sim,P032,-,2013
2,Não,P032,-,2013
1,1 dia,P033,-,2013
2,2 dias,P033,-,2013
3,3 dias,P033,-,2013
4,4 dias,P033,-,2013
5,5 dias,P033,-,2013
6,6 dias,P033,-,2013
7,7 ou mais,P033,-,2013
1,Sim,P034,-,2013
2,Não,P034,-,2013
-,Quantos dias da semana,P035,-,2013
1,Caminhada (não vale para o trabalho),P036,-,2013
2,Caminhada em esteira,P036,-,2013
3,Corrida/cooper,P036,-,2013
4,Corrida em esteira,P036,-,2013
5,Musculação,P036,-,2013
6,Ginástica aeróbica/spinning/step/jump,P036,-,2013
7,Hidroginástica,P036,-,2013
8,Ginástica em geral/localizada/pilates/alongamento/ioga,P036,-,2013
9,Natação,P036,-,2013
10,Artes marciais e luta,P036,-,2013
11,Bicicleta/ergomética,P036,-,2013
12,Futebol,P036,-,2013
13,Basquetebol,P036,-,2013
14,Voleibol,P036,-,2013
15,Tênis,P036,-,2013
16,Dança (com o objetivo de praticar atividade física),P036,-,2013
17,Outro,P036,-,2013
-,Horas,P03701,-,2013
-,Minutos,P03702,-,2013
1,Sim,P038,-,2013
2,Não,P038,-,2013
1,Sim,P039,-,2013
2,Não,P039,-,2013
-,Dias,P03901,-,2013
-,Horas,P03902,-,2013
-,Minutos,P03903,-,2013
1,"Sim, todo o trajeto",P040,-,2013
2,"Sim, parte do trajeto",P040,-,2013
3,Não,P040,-,2013
-,Horas,P04101,-,2013
-,Minutos,P04102,-,2013
-,Dias,P042,-,2013
-,Horas,P04301,-,2013
-,Minutos,P04302,-,2013
1,Sim,P044,-,2013
2,Não,P044,-,2013
-,Dias,P04401,-,2013
-,Horas,P04403,-,2013
-,Minutos,P04404,-,2013
1,Menos de 1 hora,P045,-,2013
2,Entre 1 horas e menos de 2 horas,P045,-,2013
3,Entre 2 horas e menos de 3 horas,P045,-,2013
4,Entre 3 horas e menos de 4 horas,P045,-,2013
5,Entre 4 horas e menos de 5 horas,P045,-,2013
6,Entre 5 horas e menos de 6 horas,P045,-,2013
7,6 horas ou mais,P045,-,2013
8,Não assiste televisão,P045,-,2013
1,Sim,P046,-,2013
2,Não,P046,-,2013
1,Sim,P047,-,2013
2,Não,P047,-,2013
1,Sim,P048,-,2013
2,Não,P048,-,2013
1,Não é perto do meu domicílio,P049,-,2013
2,Não tenho tempo,P049,-,2013
3,Não tenho interesse nas atividades oferecidas,P049,-,2013
4,O espaço não é seguro/iluminado,P049,-,2013
5,Foi impedido de participar,P049,-,2013
6,Problemas de saúde ou incapacidade física,P049,-,2013
7,Outro,P049,-,2013
1,"Sim, diariamente",P050,-,2013
2,"Sim, menos que diariamente",P050,-,2013
3,Não fumo atualmente,P050,-,2013
1,Sim,P051,-,2013
2,Não,P051,-,2013
1,"Sim, diariamente",P052,-,2013
2,"Sim, menos que diariamente",P052,-,2013
3,"Não, nunca fumei",P052,-,2013
-,Anos,P053,-,2013
1,Um ou mais por dia,P05401,-,2013
2,Um ou mais por semana,P05401,-,2013
3,Menos que uma vez por semana,P05401,-,2013
4,Menos do que um por mês,P05401,-,2013
5,Não fuma este produto,P05401,-,2013
-,Número por dia,P05402,-,2013
-,Número por semana,P05403,-,2013
1,Um ou mais por dia,P05404,-,2013
2,Um ou mais por semana,P05404,-,2013
3,Menos que uma vez por semana,P05404,-,2013
4,Menos do que um por mês,P05404,-,2013
5,Não fuma este produto,P05404,-,2013
-,Número por dia,P05405,-,2013
-,Número por semana,P05406,-,2013
1,Um ou mais por dia,P05407,-,2013
2,Um ou mais por semana,P05407,-,2013
3,Menos que uma vez por semana,P05407,-,2013
4,Menos do que um por mês,P05407,-,2013
5,Não fuma este produto,P05407,-,2013
-,Número por dia,P05407,-,2013
-,Número por semana,P05408,-,2013
-,Cigarros por semana,P05409,-,2013
1,Um ou mais por dia,P05410,-,2013
2,Um ou mais por semana,P05410,-,2013
3,Menos que uma vez por semana,P05410,-,2013
4,Menos do que um por mês,P05410,-,2013
5,Não fuma este produto,P05410,-,2013
-,Número por dia,P05411,-,2013
-,Número por semana,P05412,-,2013
1,Um ou mais por dia,P05413,-,2013
2,Um ou mais por semana,P05413,-,2013
3,Menos que uma vez por semana,P05413,-,2013
4,Menos do que um por mês,P05413,-,2013
5,Não fuma este produto,P05413,-,2013
-,Número por dia,P05414,-,2013
-,Número por semana,P05415,-,2013
1,Um ou mais por dia,P05416,-,2013
2,Um ou mais por semana,P05416,-,2013
3,Menos que uma vez por semana,P05416,-,2013
4,Menos do que um por mês,P05416,-,2013
5,Não fuma este produto,P05416,-,2013
-,Número por dia,P05417,-,2013
-,Número por semana,P05418,-,2013
1,Um ou mais por dia,P05419,-,2013
2,Um ou mais por semana,P05419,-,2013
3,Menos que uma vez por semana,P05419,-,2013
4,Menos do que um por mês,P05419,-,2013
5,Não fuma este produto,P05419,-,2013
-,Número por dia,P05421,-,2013
-,Número por semana,P05422,-,2013
1,Até 5 minutos,P055,-,2013
2,De 6 a 30 minutos,P055,-,2013
3,De 31 a 60 minutos,P055,-,2013
4,Mais de 60 minutos,P055,-,2013
1,Cigarros,P056,-,2013
2,Maços,P056,-,2013
3,Pacotes,P056,-,2013
4,Nunca comprei cigarros para uso próprio,P056,-,2013
-,Cigarros,P05601,-,2013
-,Maços,P05602,-,2013
-,Cigarros,P05603,-,2013
-,Pacotes,P05604,-,2013
-,Maços,P05605,-,2013
6 dígitos e 2 casas decimais,Valor,P057,-,2013
1,Um ou mais por dia,P058,-,2013
2,Um ou mais por semana,P058,-,2013
3,Menos que uma vez por semana,P058,-,2013
4,Menos do que um por mês,P058,-,2013
5,Não fuma este produto,P058,-,2013
6,Não sabe,P058,-,2013
1,Sim,P060,-,2013
2,Não,P060,-,2013
1,Sim,P061,-,2013
2,Não,P061,-,2013
1,Sim,P062,-,2013
2,Não,P062,-,2013
1,"A consulta está marcada, mas ainda não foi realizada",P063,-,2013
2,O tempo de espera no serviço de saúde é muito grande,P063,-,2013
3,Não conseguiu marcar,P063,-,2013
4,Não sabia quem procurar ou aonde ir,P063,-,2013
5,Estava com dificuldades financeiras,P063,-,2013
6,O plano de saúde não cobria o tratamento,P063,-,2013
7,O serviço de saúde era muito distante,P063,-,2013
8,Teve dificuldades de transporte,P063,-,2013
9,O horário de funcionamento do serviço de saúde era incompatível com as atividades de trabalho ou domésticas,P063,-,2013
10,Outro,P063,-,2013
1,Sim,P064,-,2013
2,Não,P064,-,2013
1,Sim,P065,-,2013
2,Não,P065,-,2013
1,Sim,P066,-,2013
2,Não,P066,-,2013
3,Não sabe,P066,-,2013
1,"Sim, diariamente",P067,-,2013
2,"Sim, menos que diariamente",P067,-,2013
3,Não usa,P067,-,2013
1,Diariamente,P068,-,2013
2,Semanalmente,P068,-,2013
3,Mensalmente,P068,-,2013
4,Menos que mensalmente,P068,-,2013
5,Nunca,P068,-,2013
1,Sim,P069,-,2013
2,Não,P069,-,2013
3,Não lembra,P069,-,2013
1,Sim,P07001,-,2013
2,Não,P07001,-,2013
3,Não lembra,P07001,-,2013
1,Sim,P07002,-,2013
2,Não,P07002,-,2013
3,Não lembra,P07002,-,2013
1,Sim,P07003,-,2013
2,Não,P07003,-,2013
3,Não lembra,P07003,-,2013
1,Sim,P071,-,2013
2,Não,P071,-,2013
3,Não vi nenhum maço de cigarros,P071,-,2013
1,Sim,P072,-,2013
2,Não,P072,-,2013
1,Há menos de 6 meses,Q001,-,2013
2,Entre 6 meses e menos de 1 ano,Q001,-,2013
3,Entre 1 ano e menos de 2 anos,Q001,-,2013
4,Entre 2 anos e menos de 3 anos,Q001,-,2013
5,3 anos ou mais,Q001,-,2013
6,Nunca,Q001,-,2013
1,Sim,Q002,-,2013
2,Apenas durante a gravidez,Q002,-,2013
3,Não,Q002,-,2013
-,Anos,Q003,-,2013
1,Sim,Q004,-,2013
2,"Não, só quando tem algum problema",Q004,-,2013
3,Nunca vai,Q004,-,2013
1,O serviço de saúde é muito distante,Q005,-,2013
2,O tempo de espera no serviço de saúde é muito grande,Q005,-,2013
3,Tem dificuldades financeiras,Q005,-,2013
4,Não acha necessário,Q005,-,2013
5,O horário de funcionamento do serviço de saúde é incompatível com suas atividades de trabalho ou domésticas,Q005,-,2013
6,O plano de saúde não cobre as consultas,Q005,-,2013
7,Não sabe quem procurar ou aonde ir,Q005,-,2013
8,Dificuldade de transporte,Q005,-,2013
9,Outro,Q005,-,2013
1,Sim,Q006,-,2013
2,Não,Q006,-,2013
1,"Sim, todos",Q007,-,2013
2,"Sim, alguns",Q007,-,2013
3,"Não, nenhum",Q007,-,2013
1,"Sim, todos",Q008,-,2013
2,"Sim, alguns",Q008,-,2013
3,"Não, nenhum",Q008,-,2013
1,"Sim, todos",Q009,-,2013
2,"Sim, alguns",Q009,-,2013
3,"Não, nenhum",Q009,-,2013
1,Sim,Q010,-,2013
2,Não,Q010,-,2013
1,Há menos de 6 meses,Q011,-,2013
2,Entre 6 meses e menos de 1 ano,Q011,-,2013
3,Entre 1 ano e menos de 2 anos,Q011,-,2013
4,Entre 2 anos e menos de 3 anos,Q011,-,2013
5,Há 3 anos ou mais,Q011,-,2013
6,Nunca recebeu,Q011,-,2013
1,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),Q012,-,2013
2,"Centro de Especialidades, Policlínica pública ou PAM - Posto de Assistência Médica",Q012,-,2013
3,UPA (Unidade de pronto Atendimento),Q012,-,2013
4,Outro tipo de Pronto Atendimento Público (24 horas),Q012,-,2013
5,Pronto-socorro ou emergência de hospital público,Q012,-,2013
6,Hospital público/ambulatório,Q012,-,2013
7,Consultório particular ou Clínica privada,Q012,-,2013
8,Ambulatório ou consultório de empresa ou sindicato,Q012,-,2013
9,Pronto-atendimento ou emergência de hospital privado,Q012,-,2013
10,"No domicílio, com médico da equipe de saúde da família",Q012,-,2013
11,"No domicílio, com médico particular",Q012,-,2013
12,Outro,Q012,-,2013
1,Sim,Q013,-,2013
2,Não,Q013,-,2013
1,Sim,Q014,-,2013
2,Não,Q014,-,2013
1,Sim,Q015,-,2013
2,Não,Q015,-,2013
3,Não sabe,Q015,-,2013
1,Sim,Q016,-,2013
2,Não,Q016,-,2013
1,Sim,Q017,-,2013
2,Não,Q017,-,2013
3,"Não, pois não tinha realizado exames",Q017,-,2013
1,Sim,Q01801,-,2013
2,Não,Q01801,-,2013
1,Sim,Q01802,-,2013
2,Não,Q01802,-,2013
1,Sim,Q01803,-,2013
2,Não,Q01803,-,2013
1,Sim,Q01804,-,2013
2,Não,Q01804,-,2013
1,Sim,Q01805,-,2013
2,Não,Q01805,-,2013
1,Sim,Q01806,-,2013
2,Não,Q01806,-,2013
1,Sim,Q01807,-,2013
2,Não,Q01807,-,2013
1,Sim,Q01808,-,2013
2,Não,Q01808,-,2013
1,Sim,Q01901,-,2013
2,Não,Q01901,-,2013
1,Sim,Q01902,-,2013
2,Não,Q01902,-,2013
1,Sim,Q01903,-,2013
2,Não,Q01903,-,2013
1,Sim,Q01904,-,2013
2,Não,Q01904,-,2013
1,Sim,Q01905,-,2013
2,Não,Q01905,-,2013
1,Sim,Q020,-,2013
2,Não,Q020,-,2013
1,"O exame está marcado, mas ainda não fez",Q021,-,2013
2,Não achou necessário,Q021,-,2013
3,Não conseguiu marcar,Q021,-,2013
4,O tempo de espera no laboratório ou serviço de saúde era muito grande,Q021,-,2013
5,Estava com dificuldades financeiras,Q021,-,2013
6,O laboratório ou serviço de saúde era muito distante,Q021,-,2013
7,O horário de funcionamento do laboratório ou serviço de saúde era incompatível com as suas atividades de trabalho ou domésticas,Q021,-,2013
8,O plano de saúde não cobria todos os exames solicitados,Q021,-,2013
9,Não sabia onde realizar os exames,Q021,-,2013
10,Dificuldade de transporte,Q021,-,2013
11,Outro,Q021,-,2013
1,Sim,Q022,-,2013
2,Não,Q022,-,2013
3,"Não houve encaminhamento, pois todas as consultas para hipertensão foram com médico especialista",Q022,-,2013
1,Sim,Q023,-,2013
2,Não,Q023,-,2013
1,"A consulta está marcada, mas a consulta ainda não foi realizada",Q024,-,2013
2,Não achou necessário,Q024,-,2013
3,Não sabia quem procurar ou aonde ir,Q024,-,2013
4,Estava com dificuldades financeiras,Q024,-,2013
5,Teve dificuldades de transporte,Q024,-,2013
6,Não conseguiu marcar,Q024,-,2013
7,O tempo de espera no serviço de saúde era muito grande,Q024,-,2013
8,O plano de saúde não cobria a consulta,Q024,-,2013
9,O serviço de saúde era muito distante,Q024,-,2013
10,O horário de funcionamento do serviço de saúde era incompatível com as atividades de trabalho ou domésticas,Q024,-,2013
11,Outro,Q024,-,2013
1,Sim,Q026,-,2013
2,Não,Q026,-,2013
1,Há menos de 6 meses,Q027,-,2013
2,Entre 6 meses e menos de 1 ano,Q027,-,2013
3,Entre 1 ano e menos de 2 anos,Q027,-,2013
4,Entre 2 anos e menos de 3 anos,Q027,-,2013
5,Há 3 anos ou mais,Q027,-,2013
1,Não limita,Q028,-,2013
2,Um pouco,Q028,-,2013
3,Moderadamente,Q028,-,2013
4,Intensamente,Q028,-,2013
5,Muito intensamente,Q028,-,2013
1,Há menos de 6 meses,Q029,-,2013
2,Entre 6 meses e menos de 1 ano,Q029,-,2013
3,Entre 1 ano e menos de 2 anos,Q029,-,2013
4,Entre 2 anos e menos de 3 anos,Q029,-,2013
5,Há 3 anos ou mais,Q029,-,2013
6,Nunca fez,Q029,-,2013
1,Sim,Q030,-,2013
2,Apenas durante a gravidez (só para mulheres),Q030,-,2013
3,Não,Q030,-,2013
-,Anos,Q031,-,2013
1,Sim,Q032,-,2013
2,"Não, só quando tem algum problema",Q032,-,2013
3,Nunca vai,Q032,-,2013
1,O serviço de saúde é muito distante,Q033,-,2013
2,O tempo de espera no serviço de saúde é muito grande,Q033,-,2013
3,Tem dificuldades financeiras,Q033,-,2013
4,Não acha necessário,Q033,-,2013
5,O horário de funcionamento do serviço de saúde é incompátivel com suas atividades de trabalho ou domésticos,Q033,-,2013
6,O plano de saúde não cobre as consultas,Q033,-,2013
7,Não sabe quem procurar ou aonde ir,Q033,-,2013
8,Dificuldade de transporte,Q033,-,2013
9,Outro,Q033,-,2013
1,Sim,Q03401,-,2013
2,Não,Q03401,-,2013
1,Sim,Q03402,-,2013
2,Não,Q03402,-,2013
1,"Sim, todos",Q035,-,2013
2,"Sim, alguns",Q035,-,2013
3,"Não, nenhum",Q035,-,2013
1,"Sim, todos",Q036,-,2013
2,"Sim, alguns",Q036,-,2013
3,"Não, nenhum",Q036,-,2013
1,"Sim, todos",Q037,-,2013
2,"Sim, alguns",Q037,-,2013
3,"Não, nenhum",Q037,-,2013
1,Sim,Q038,-,2013
2,Não,Q038,-,2013
1,Há menos de 6 meses,Q039,-,2013
2,Entre 6 meses e menos de 1 ano,Q039,-,2013
3,Entre 1 ano e menos de 2 anos,Q039,-,2013
4,Entre 2 anos e menos de 3 anos,Q039,-,2013
5,Há 3 anos ou mais,Q039,-,2013
6,Nunca recebeu,Q039,-,2013
1,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),Q040,-,2013
2,"Centro de Especialidades, Policlínica pública ou PAM - Posto de Assistência Médica",Q040,-,2013
3,UPA (Unidade de pronto Atendimento),Q040,-,2013
4,Outro tipo de Pronto Atendimento Público (24 horas),Q040,-,2013
5,Pronto-socorro ou emergência de hospital público,Q040,-,2013
6,Hospital público/ambulatório,Q040,-,2013
7,Consultório particular ou Clínica privada,Q040,-,2013
8,Ambulatório ou consultório de empresa ou sindicato,Q040,-,2013
9,Pronto-atendimento ou emergência de hospital privado,Q040,-,2013
10,"No domicílio, com médico da equipe de saúde da família",Q040,-,2013
11,"No domicílio, com médico particular",Q040,-,2013
12,Outro,Q040,-,2013
1,Sim,Q041,-,2013
2,Não,Q041,-,2013
1,Sim,Q042,-,2013
2,Não,Q042,-,2013
1,Sim,Q043,-,2013
2,Não,Q043,-,2013
3,Não sabe,Q043,-,2013
1,Sim,Q044,-,2013
2,Não,Q044,-,2013
1,Sim,Q045,-,2013
2,Não,Q045,-,2013
3,"Não, pois não tinha realizado exames",Q045,-,2013
1,Sim,Q04601,-,2013
2,Não,Q04601,-,2013
1,Sim,Q04602,-,2013
2,Não,Q04602,-,2013
1,Sim,Q04603,-,2013
2,Não,Q04603,-,2013
1,Sim,Q04604,-,2013
2,Não,Q04604,-,2013
1,Sim,Q04605,-,2013
2,Não,Q04605,-,2013
1,Sim,Q04606,-,2013
2,Não,Q04606,-,2013
1,Sim,Q04607,-,2013
2,Não,Q04607,-,2013
1,Sim,Q04608,-,2013
2,Não,Q04608,-,2013
1,Sim,Q04609,-,2013
2,Não,Q04609,-,2013
1,Sim,Q04701,-,2013
2,Não,Q04701,-,2013
1,Sim,Q04702,-,2013
2,Não,Q04702,-,2013
1,Sim,Q04703,-,2013
2,Não,Q04703,-,2013
1,Sim,Q04704,-,2013
2,Não,Q04704,-,2013
1,Sim,Q04705,-,2013
2,Não,Q04705,-,2013
1,Sim,Q048,-,2013
2,Não,Q048,-,2013
1,"O exame está marcado, mas ainda não fez",Q049,-,2013
2,Não achou necessário,Q049,-,2013
3,Não conseguiu marcar,Q049,-,2013
4,O tempo de espera no laboratório ou serviço de saúde era muito grande,Q049,-,2013
5,Estava com dificuldades financeiras,Q049,-,2013
6,O laboratório ou serviço de saúde era muito distante,Q049,-,2013
7,O horário de funcionamento do laboratório ou serviço de saúde era incompatível com as suas atividades de trabalho ou domésticas,Q049,-,2013
8,O plano de saúde não cobria todos os exames solicitados,Q049,-,2013
9,Não sabia onde realizar os exames,Q049,-,2013
10,Dificuldade de transporte,Q049,-,2013
11,Outro,Q049,-,2013
1,Sim,Q050,-,2013
2,Não,Q050,-,2013
3,"Não houve encaminhamento, pois todas as consultas para diabetes foram com médico especialista",Q050,-,2013
1,Sim,Q051,-,2013
2,Não,Q051,-,2013
1,"A consulta está marcada, mas a consulta ainda não foi realizada",Q052,-,2013
2,Não achou necessário,Q052,-,2013
3,Não sabia quem procurar ou aonde ir,Q052,-,2013
4,Estava com dificuldades financeiras,Q052,-,2013
5,Teve dificuldades de transporte,Q052,-,2013
6,Não conseguiu marcar,Q052,-,2013
7,O tempo de espera no serviço de saúde era muito grande,Q052,-,2013
8,O plano de saúde não cobria a consulta,Q052,-,2013
9,O serviço de saúde era muito distante,Q052,-,2013
10,O horário de funcionamento do serviço de saúde era incompatível com as atividades de trabalho domésticas,Q052,-,2013
11,Outro,Q052,-,2013
1,Menos de 6 meses,Q053,-,2013
2,De 6 meses a menos de 1 ano,Q053,-,2013
3,De 1 ano a menos de 2 anos,Q053,-,2013
4,De 2 anos a menos de 3 anos,Q053,-,2013
5,3 anos ou mais,Q053,-,2013
6,Nunca fez,Q053,-,2013
9,Ignorado,Q053,-,2013
1,Menos de 6 meses,Q054,-,2013
2,De 6 meses a menos de 1 ano,Q054,-,2013
3,De 1 ano a menos de 2 anos,Q054,-,2013
